STATION,NAME,LATITUDE,LONGITUDE,DATE,TMAX,TMIN,TOBS
USC00231189,"CALIFORNIA, MO US",38.6277,-92.5544,02/01/1960,45,27,32
USC00231189,"CALIFORNIA, MO US",38.6277,-92.5544,04/01/1960,39,9,30
USC00231189,"CALIFORNIA, MO US",38.6277,-92.5544,05/01/1960,33,14.5,28
USC00231189,"CALIFORNIA, MO US",38.6277,-92.5544,06/01/1960,43,20,22
USC00231189,"CALIFORNIA, MO US",38.6277,-92.5544,07/01/1960,45,14,41
USC00231189,"CALIFORNIA, MO US",38.6277,-92.5544,08/01/1960,49,26,44
USC00231189,"CALIFORNIA, MO US",38.6277,-92.5544,09/01/1960,50,27,46
USC00231189,"CALIFORNIA, MO US",38.6277,-92.5544,10/01/1960,61,35,56
USC00231189,"CALIFORNIA, MO US",38.6277,-92.5544,11/01/1960,66,49,57
USC00231189,"CALIFORNIA, MO US",38.6277,-92.5544,13/01/1960,66,43,43
USC00231189,"CALIFORNIA, MO US",38.6277,-92.5544,14/01/1960,55,41,54
USC00231189,"CALIFORNIA, MO US",38.6277,-92.5544,15/01/1960,55,31,31
USC00231189,"CALIFORNIA, MO US",38.6277,-92.5544,16/01/1960,34,19,32
USC00231189,"CALIFORNIA, MO US",38.6277,-92.5544,18/01/1960,33,24,24
USC00231189,"CALIFORNIA, MO US",38.6277,-92.5544,19/01/1960,25,8,20
USC00231189,"CALIFORNIA, MO US",38.6277,-92.5544,20/01/1960,23,8,22
USC00231189,"CALIFORNIA, MO US",38.6277,-92.5544,21/01/1960,24,5,18
USC00231189,"CALIFORNIA, MO US",38.6277,-92.5544,22/01/1960,19,2,14
USC00231189,"CALIFORNIA, MO US",38.6277,-92.5544,23/01/1960,21,-2,17
USC00231189,"CALIFORNIA, MO US",38.6277,-92.5544,25/01/1960,47,16,44
USC00231189,"CALIFORNIA, MO US",38.6277,-92.5544,26/01/1960,50,34,48
USC00231189,"CALIFORNIA, MO US",38.6277,-92.5544,27/01/1960,52,33,33
USC00231189,"CALIFORNIA, MO US",38.6277,-92.5544,28/01/1960,35,31,35
USC00231189,"CALIFORNIA, MO US",38.6277,-92.5544,29/01/1960,35,26,30
USC00231189,"CALIFORNIA, MO US",38.6277,-92.5544,01/02/1960,54,23,49
USC00231189,"CALIFORNIA, MO US",38.6277,-92.5544,02/02/1960,50,31,40
USC00231189,"CALIFORNIA, MO US",38.6277,-92.5544,03/02/1960,45,31,42
USC00231189,"CALIFORNIA, MO US",38.6277,-92.5544,04/02/1960,45,34,45
USC00231189,"CALIFORNIA, MO US",38.6277,-92.5544,05/02/1960,46,36,36
USC00231189,"CALIFORNIA, MO US",38.6277,-92.5544,06/02/1960,40,30,37
USC00231189,"CALIFORNIA, MO US",38.6277,-92.5544,08/02/1960,49,26,49
USC00231189,"CALIFORNIA, MO US",38.6277,-92.5544,09/02/1960,56,37,54
USC00231189,"CALIFORNIA, MO US",38.6277,-92.5544,10/02/1960,57,23,23
USC00231189,"CALIFORNIA, MO US",38.6277,-92.5544,11/02/1960,29,15,28
USC00231189,"CALIFORNIA, MO US",38.6277,-92.5544,12/02/1960,29,13,25
USC00231189,"CALIFORNIA, MO US",38.6277,-92.5544,13/02/1960,29,7,27
USC00231189,"CALIFORNIA, MO US",38.6277,-92.5544,15/02/1960,45,15,41
USC00231189,"CALIFORNIA, MO US",38.6277,-92.5544,16/02/1960,55,31,49
USC00231189,"CALIFORNIA, MO US",38.6277,-92.5544,17/02/1960,49,25,30
USC00231189,"CALIFORNIA, MO US",38.6277,-92.5544,18/02/1960,36,18,32
