STATION,STATION_NAME,DATE,TAVG,TMAX,TMIN
GHCND:USS0019L05S,BLUE LAKES CA US,19831001,37,47,33
GHCND:USS0019L05S,BLUE LAKES CA US,19831002,37,45,32
GHCND:USS0019L05S,BLUE LAKES CA US,19831003,40,55,31
GHCND:USS0019L05S,BLUE LAKES CA US,19831004,45,67,33
GHCND:USS0019L05S,BLUE LAKES CA US,19831005,45,64,36
GHCND:USS0019L05S,BLUE LAKES CA US,19831006,48,67,39
GHCND:USS0019L05S,BLUE LAKES CA US,19831007,47,64,38
GHCND:USS0019L05S,BLUE LAKES CA US,19831008,44,53,37
GHCND:USS0019L05S,BLUE LAKES CA US,19831009,42,49,35
GHCND:USS0019L05S,BLUE LAKES CA US,19831010,39,56,28
GHCND:USS0019L05S,BLUE LAKES CA US,19831011,43,60,35
GHCND:USS0019L05S,BLUE LAKES CA US,19831012,46,67,35
GHCND:USS0019L05S,BLUE LAKES CA US,19831013,39,49,30
GHCND:USS0019L05S,BLUE LAKES CA US,19831014,35,50,26
GHCND:USS0019L05S,BLUE LAKES CA US,19831015,36,53,27
GHCND:USS0019L05S,BLUE LAKES CA US,19831016,37,53,29
GHCND:USS0019L05S,BLUE LAKES CA US,19831017,39,56,30
GHCND:USS0019L05S,BLUE LAKES CA US,19831018,41,62,31
GHCND:USS0019L05S,BLUE LAKES CA US,19831019,42,60,32
GHCND:USS0019L05S,BLUE LAKES CA US,19831020,42,59,32
GHCND:USS0019L05S,BLUE LAKES CA US,19831021,42,58,31
GHCND:USS0019L05S,BLUE LAKES CA US,19831022,42,59,32
GHCND:USS0019L05S,BLUE LAKES CA US,19831023,38,42,32
GHCND:USS0019L05S,BLUE LAKES CA US,19831024,39,48,32
GHCND:USS0019L05S,BLUE LAKES CA US,19831025,43,70,31
GHCND:USS0019L05S,BLUE LAKES CA US,19831026,42,64,33
GHCND:USS0019L05S,BLUE LAKES CA US,19831027,41,56,32
GHCND:USS0019L05S,BLUE LAKES CA US,19831028,42,56,32
GHCND:USS0019L05S,BLUE LAKES CA US,19831029,41,53,35
GHCND:USS0019L05S,BLUE LAKES CA US,19831030,38,40,37
GHCND:USS0019L05S,BLUE LAKES CA US,19831031,35,38,32
GHCND:USS0019L05S,BLUE LAKES CA US,19831101,34,36,32
GHCND:USS0019L05S,BLUE LAKES CA US,19831102,36,47,30
GHCND:USS0019L05S,BLUE LAKES CA US,19831103,42,54,33
GHCND:USS0019L05S,BLUE LAKES CA US,19831104,40,51,35
GHCND:USS0019L05S,BLUE LAKES CA US,19831106,40,45,32
GHCND:USS0019L05S,BLUE LAKES CA US,19831107,31,39,21
GHCND:USS0019L05S,BLUE LAKES CA US,19831108,29,42,18
GHCND:USS0019L05S,BLUE LAKES CA US,19831109,32,35,29
GHCND:USS0019L05S,BLUE LAKES CA US,19831110,33,36,30
GHCND:USS0019L05S,BLUE LAKES CA US,19831111,31,33,29
GHCND:USS0019L05S,BLUE LAKES CA US,19831112,29,33,21
GHCND:USS0019L05S,BLUE LAKES CA US,19831113,24,27,18
GHCND:USS0019L05S,BLUE LAKES CA US,19831114,25,40,14
GHCND:USS0019L05S,BLUE LAKES CA US,19831115,32,40,25
GHCND:USS0019L05S,BLUE LAKES CA US,19831116,32,32,30
GHCND:USS0019L05S,BLUE LAKES CA US,19831117,30,32,25
GHCND:USS0019L05S,BLUE LAKES CA US,19831118,21,32,13
GHCND:USS0019L05S,BLUE LAKES CA US,19831119,29,34,20
GHCND:USS0019L05S,BLUE LAKES CA US,19831120,21,28,15
GHCND:USS0019L05S,BLUE LAKES CA US,19831121,16,24,8
GHCND:USS0019L05S,BLUE LAKES CA US,19831122,15,23,4
GHCND:USS0019L05S,BLUE LAKES CA US,19831123,28,33,18
GHCND:USS0019L05S,BLUE LAKES CA US,19831124,26,32,16
GHCND:USS0019L05S,BLUE LAKES CA US,19831125,15,20,11
GHCND:USS0019L05S,BLUE LAKES CA US,19831126,17,22,12
GHCND:USS0019L05S,BLUE LAKES CA US,19831127,24,37,17
GHCND:USS0019L05S,BLUE LAKES CA US,19831128,19,34,7
GHCND:USS0019L05S,BLUE LAKES CA US,19831129,19,33,8
