"﻿station","station_name","","date","tobs","tmax","tmin"
USC00231189,CALIFORNIA, MO US,09/03/2012,38,42,33
USC00231189,CALIFORNIA, MO US,10/03/2012,49,57,33
USC00231189,CALIFORNIA, MO US,11/03/2012,44,64,43
USC00231189,CALIFORNIA, MO US,12/03/2012,51,55,43
USC00231189,CALIFORNIA, MO US,13/03/2012,49,76,44
USC00231189,CALIFORNIA, MO US,14/03/2012,58,81,49
USC00231189,CALIFORNIA, MO US,15/03/2012,61,82,58
USC00231189,CALIFORNIA, MO US,16/03/2012,61,76,58
USC00231189,CALIFORNIA, MO US,17/03/2012,63,81,60
USC00231189,CALIFORNIA, MO US,18/03/2012,61,70,57
USC00231189,CALIFORNIA, MO US,19/03/2012,67,76,62
USC00231189,CALIFORNIA, MO US,20/03/2012,57,79,55
USC00231189,CALIFORNIA, MO US,21/03/2012,59,76,56
USC00231189,CALIFORNIA, MO US,22/03/2012,49,67,48
USC00231189,CALIFORNIA, MO US,23/03/2012,50,67,48
USC00231189,CALIFORNIA, MO US,26/03/2012,58,76,50
USC00231189,CALIFORNIA, MO US,27/03/2012,62,78,58
USC00231189,CALIFORNIA, MO US,28/03/2012,64,80,62
USC00231189,CALIFORNIA, MO US,29/03/2012,58,80,57
USC00231189,CALIFORNIA, MO US,30/03/2012,64,76,58
USC00231189,CALIFORNIA, MO US,31/03/2012,62,76,52
USC00231189,CALIFORNIA, MO US,01/04/2012,66,80,53
USC00231189,CALIFORNIA, MO US,02/04/2012,69,86,65
USC00231189,CALIFORNIA, MO US,03/04/2012,64,87,58
USC00231189,CALIFORNIA, MO US,04/04/2012,56,74,54
USC00231189,CALIFORNIA, MO US,05/04/2012,46,72,46
USC00231189,CALIFORNIA, MO US,06/04/2012,40,51,37
USC00231189,CALIFORNIA, MO US,07/04/2012,51,61,40
USC00231189,CALIFORNIA, MO US,08/04/2012,42,57,38
USC00231189,CALIFORNIA, MO US,09/04/2012,49,66,42
USC00231189,CALIFORNIA, MO US,10/04/2012,45,69,42
USC00231189,CALIFORNIA, MO US,11/04/2012,38,60,36
USC00231189,CALIFORNIA, MO US,12/04/2012,40,57,35
USC00231189,CALIFORNIA, MO US,13/04/2012,47,64,40
USC00231189,CALIFORNIA, MO US,14/04/2012,59,61,46
USC00231189,CALIFORNIA, MO US,15/04/2012,66,76,58
USC00231189,CALIFORNIA, MO US,16/04/2012,49,76,49
USC00231189,CALIFORNIA, MO US,17/04/2012,50,65,43
USC00231189,CALIFORNIA, MO US,18/04/2012,52,69,46
USC00231189,CALIFORNIA, MO US,19/04/2012,55,74,51
USC00231189,CALIFORNIA, MO US,20/04/2012,45,73,42
USC00231189,CALIFORNIA, MO US,21/04/2012,47,50,35
USC00231189,CALIFORNIA, MO US,22/04/2012,48,60,42
USC00231189,CALIFORNIA, MO US,23/04/2012,44,57,38
USC00231189,CALIFORNIA, MO US,24/04/2012,49,62,40
USC00231189,CALIFORNIA, MO US,25/04/2012,62,77,49
USC00231189,CALIFORNIA, MO US,26/04/2012,65,84,58
USC00231189,CALIFORNIA, MO US,27/04/2012,52,79,51
USC00231189,CALIFORNIA, MO US,28/04/2012,67,79,50
USC00231189,CALIFORNIA, MO US,29/04/2012,62,72,50
USC00231189,CALIFORNIA, MO US,30/04/2012,59,73,59
USC00231189,CALIFORNIA, MO US,01/05/2012,63,68,58
USC00231189,CALIFORNIA, MO US,02/05/2012,71,80,63
USC00231189,CALIFORNIA, MO US,03/05/2012,68,84,65
