"﻿station","station_name","","date","tobs","tmax","tmin"
USC00231189,CALIFORNIA, MO US,02/01/1960,32,45,27
USC00231189,CALIFORNIA, MO US,04/01/1960,30,39,9
USC00231189,CALIFORNIA, MO US,05/01/1960,28,33,14.5
USC00231189,CALIFORNIA, MO US,06/01/1960,22,43,20
USC00231189,CALIFORNIA, MO US,07/01/1960,41,45,14
USC00231189,CALIFORNIA, MO US,08/01/1960,44,49,26
USC00231189,CALIFORNIA, MO US,09/01/1960,46,50,27
USC00231189,CALIFORNIA, MO US,10/01/1960,56,61,35
USC00231189,CALIFORNIA, MO US,11/01/1960,57,66,49
USC00231189,CALIFORNIA, MO US,13/01/1960,43,66,43
USC00231189,CALIFORNIA, MO US,14/01/1960,54,55,41
USC00231189,CALIFORNIA, MO US,15/01/1960,31,55,31
USC00231189,CALIFORNIA, MO US,16/01/1960,32,34,19
USC00231189,CALIFORNIA, MO US,18/01/1960,24,33,24
USC00231189,CALIFORNIA, MO US,19/01/1960,20,25,8
USC00231189,CALIFORNIA, MO US,20/01/1960,22,23,8
USC00231189,CALIFORNIA, MO US,21/01/1960,18,24,5
USC00231189,CALIFORNIA, MO US,22/01/1960,14,19,2
USC00231189,CALIFORNIA, MO US,23/01/1960,17,21,-2
USC00231189,CALIFORNIA, MO US,25/01/1960,44,47,16
USC00231189,CALIFORNIA, MO US,26/01/1960,48,50,34
USC00231189,CALIFORNIA, MO US,27/01/1960,33,52,33
USC00231189,CALIFORNIA, MO US,28/01/1960,35,35,31
USC00231189,CALIFORNIA, MO US,29/01/1960,30,35,26
USC00231189,CALIFORNIA, MO US,01/02/1960,49,54,23
USC00231189,CALIFORNIA, MO US,02/02/1960,40,50,31
USC00231189,CALIFORNIA, MO US,03/02/1960,42,45,31
USC00231189,CALIFORNIA, MO US,04/02/1960,45,45,34
USC00231189,CALIFORNIA, MO US,05/02/1960,36,46,36
USC00231189,CALIFORNIA, MO US,06/02/1960,37,40,30
USC00231189,CALIFORNIA, MO US,08/02/1960,49,49,26
USC00231189,CALIFORNIA, MO US,09/02/1960,54,56,37
USC00231189,CALIFORNIA, MO US,10/02/1960,23,57,23
USC00231189,CALIFORNIA, MO US,11/02/1960,28,29,15
USC00231189,CALIFORNIA, MO US,12/02/1960,25,29,13
USC00231189,CALIFORNIA, MO US,13/02/1960,27,29,7
USC00231189,CALIFORNIA, MO US,15/02/1960,41,45,15
USC00231189,CALIFORNIA, MO US,16/02/1960,49,55,31
USC00231189,CALIFORNIA, MO US,17/02/1960,30,49,25
USC00231189,CALIFORNIA, MO US,18/02/1960,32,36,18
USC00231189,CALIFORNIA, MO US,19/02/1960,28,32,15
USC00231189,CALIFORNIA, MO US,22/02/1960,28,30,9
